fasfasf
Time Stamp,UV Index (0-4),Brightness(lux),Air Temperature,Air Pressure(hPa)
00:22:25,0,0,32.05833333333334,1017.800
00:22:26,0,0,32.05833333333334,1017.800
00:22:26,0,0,32.045833333333334,1017.748
00:22:26,0,0,32.045833333333334,1017.748
00:22:27,0,0,32.045833333333334,1017.748
00:22:27,0,0,32.03333333333333,1017.754
00:22:27,0,0,32.03333333333333,1017.754
00:22:28,0,0,32.03333333333333,1017.754
00:22:29,0,0,32.03333333333333,1017.754
00:22:29,0,0,32.020833333333336,1017.759
00:22:29,0,0,32.020833333333336,1017.759
00:22:30,0,0,32.020833333333336,1017.759
00:22:30,0,0,32.014583333333334,1017.753
00:22:30,0,0,32.014583333333334,1017.753
00:22:31,0,0,32.014583333333334,1017.753
00:22:31,0,0,32.00833333333333,1017.788
00:22:31,0,0,32.00833333333333,1017.788
00:22:32,0,0,32.00833333333333,1017.788
00:22:32,0,0,32.00208333333333,1017.740
00:22:32,0,0,32.00208333333333,1017.740
00:22:33,0,0,32.00208333333333,1017.740
00:22:33,0,0,32.0,1017.823
00:22:33,0,0,32.0,1017.823
00:22:34,0,0,32.0,1017.823
00:22:34,0,0,32.00416666666666,1017.740
00:22:34,0,0,32.00416666666666,1017.740
00:22:35,0,0,32.00416666666666,1017.740
00:22:35,0,0,31.99791666666667,1017.789
00:22:35,0,0,31.99791666666667,1017.789
00:22:36,0,0,31.99791666666667,1017.789
00:22:36,0,0,31.99375,1017.831
00:22:36,0,0,31.99375,1017.831
00:22:37,0,0,31.99375,1017.831
00:22:37,0,0,31.991666666666667,1017.801
00:22:37,0,0,31.991666666666667,1017.801
00:22:38,0,0,31.991666666666667,1017.801
00:22:38,0,0,31.985416666666666,1017.772
00:22:38,0,0,31.985416666666666,1017.772
00:22:39,0,0,31.985416666666666,1017.772
00:22:39,0,0,31.98125,1017.800
00:22:39,0,0,31.98125,1017.800
00:22:40,0,0,31.98125,1017.800
00:22:40,0,0,31.975,1017.794
00:22:40,0,0,31.975,1017.794
00:22:41,0,0,31.975,1017.794
00:22:41,0,0,31.972916666666666,1017.790
00:22:41,0,0,31.972916666666666,1017.790
00:22:42,0,0,31.972916666666666,1017.790
00:22:42,0,0,31.97083333333333,1017.818
00:22:42,0,0,31.97083333333333,1017.818
00:22:43,0,0,31.97083333333333,1017.818
00:22:43,0,0,31.97083333333333,1017.797
00:22:43,0,0,31.97083333333333,1017.797
00:22:44,0,0,31.97083333333333,1017.797
00:22:44,0,0,31.977083333333333,1017.816
00:22:44,0,0,31.977083333333333,1017.816
00:22:45,0,0,31.977083333333333,1017.816
00:22:45,0,0,31.977083333333333,1017.781
00:22:45,0,0,31.977083333333333,1017.781
00:22:46,0,0,31.977083333333333,1017.781
00:22:46,0,0,31.983333333333334,1017.858
00:22:46,0,0,31.983333333333334,1017.858
00:22:47,0,0,31.983333333333334,1017.858
00:22:47,0,0,31.991666666666667,1017.836
00:22:47,0,0,31.991666666666667,1017.836
00:22:48,0,0,31.991666666666667,1017.836
00:22:48,0,0,31.99375,1017.833
00:22:48,0,0,31.99375,1017.833
00:22:49,0,0,31.99375,1017.833
00:22:49,0,0,31.99791666666667,1017.867
00:22:49,0,0,31.99791666666667,1017.867
00:22:50,0,0,31.99791666666667,1017.867
00:22:50,0,0,31.99375,1017.871
00:22:50,0,0,31.99375,1017.871
00:22:51,0,0,31.99375,1017.871
00:22:51,0,0,31.995833333333334,1017.806
00:22:51,0,0,31.995833333333334,1017.806
00:22:52,0,0,31.995833333333334,1017.806
00:22:52,0,0,31.991666666666667,1017.848
00:22:52,0,0,31.991666666666667,1017.848
00:22:53,0,0,31.991666666666667,1017.848
00:22:53,0,0,31.991666666666667,1017.836
00:22:53,0,0,31.991666666666667,1017.836
00:22:54,0,0,31.991666666666667,1017.836
00:22:54,0,0,31.985416666666666,1017.758
00:22:54,0,0,31.985416666666666,1017.758
00:22:55,0,0,31.985416666666666,1017.758
00:22:55,0,0,31.983333333333334,1017.883
00:22:55,0,0,31.983333333333334,1017.883
00:22:56,0,0,31.983333333333334,1017.883
00:22:56,0,0,31.979166666666664,1017.799
00:22:56,0,0,31.979166666666664,1017.799
00:22:57,0,0,31.979166666666664,1017.799
00:22:57,0,0,31.979166666666664,1017.815
00:22:57,0,0,31.979166666666664,1017.815
00:22:58,0,0,31.979166666666664,1017.815
00:22:58,0,0,31.98125,1017.899
00:22:58,0,0,31.98125,1017.899
00:22:59,0,0,31.98125,1017.899
00:22:59,0,0,31.979166666666664,1017.861
00:22:59,0,0,31.979166666666664,1017.861
00:23:00,0,0,31.979166666666664,1017.861
